Text                 Line       Column (Start, End)  Type       
}                    15         (67, 68)            Ident     
;                    15         (68, 69)            Ident     
printf               17         (2, 8)            Ident     
(                    17         (8, 9)            Ident     
"%d\n"               17         (9, 15)            Ident     
,                    17         (15, 16)            Ident     
e                    17         (17, 18)            Ident     
[                    17         (18, 19)            Ident     
3                    17         (19, 20)            IntConst  
]                    17         (20, 21)            Ident     
[                    17         (21, 22)            Ident     
1                    17         (22, 23)            IntConst  
]                    17         (23, 24)            Ident     
[                    17         (24, 25)            Ident     
0                    17         (25, 26)            IntConst  
]                    17         (26, 27)            Ident     
+                    17         (28, 29)            Ident     
e                    17         (30, 31)            Ident     
[                    17         (31, 32)            Ident     
0                    17         (32, 33)            IntConst  
]                    17         (33, 34)            Ident     
[                    17         (34, 35)            Ident     
0                    17         (35, 36)            IntConst  
]                    17         (36, 37)            Ident     
[                    17         (37, 38)            Ident     
0                    17         (38, 39)            IntConst  
]                    17         (39, 40)            Ident     
+                    17         (41, 42)            Ident     
e                    17         (43, 44)            Ident     
[                    17         (44, 45)            Ident     
0                    17         (45, 46)            IntConst  
]                    17         (46, 47)            Ident     
[                    17         (47, 48)            Ident     
1                    17         (48, 49)            IntConst  
]                    17         (49, 50)            Ident     
[                    17         (50, 51)            Ident     
0                    17         (51, 52)            IntConst  
]                    17         (52, 53)            Ident     
+                    17         (54, 55)            Ident     
d                    17         (56, 57)            Ident     
[                    17         (57, 58)            Ident     
3                    17         (58, 59)            IntConst  
]                    17         (59, 60)            Ident     
[                    17         (60, 61)            Ident     
0                    17         (61, 62)            IntConst  
]                    17         (62, 63)            Ident     
)                    17         (63, 64)            Ident     
;                    17         (64, 65)            Ident     
return               18         (5, 11)            Ident     
0                    18         (12, 13)            IntConst  
;                    18         (13, 14)            Ident     
}                    19         (1, 2)            Ident     
